Maximum CPU Burst: 1200
1565       11046                 988     4
1566       11065                 470     3
1567       11086                 597     3
1568       11092                 998     8
1569       11101                 794     3
1570       11104                 765     9
1571       11107                 275     3
1572       11111                 410     3
1573       11113                 624     5
1574       11126                 481     3
1575       11140                 894     4
1576       11140                 226     4
1577       11142                 772     8
1578       11147                  33     1
1579       11166                 193     3
1580       11173                 564     2
1581       11182                 887     7
1582       11183                 431     4
1583       11192                1136     2
1584       11194                 416     7
1585       11204                 329     7
1586       11208                 719     1
1587       11218                 883     9
1588       11222                1078     2
1589       11224                 739     5
1590       11235                 583     4
1591       11236                 689     7
1592       11243                1078     8
1593       11253                 431     4
1594       11257                 494     1
1595       11260                 169     4
1596       11273                 353     7
1597       11287                 235     5
1598       11292                  79     1
1599       11304                 809     8
1600       11314                 424     9
1601       11318                  95     6
1602       11320                1104     3
1603       11327                 164     1
1604       11330                 974     9
1605       11345                 815     2
1606       11353                 407     2
1607       11363                 750     9
1608       11365                 427     5
1609       11379                 104     3
1610       11380                  34     1
1611       11396                 222     4
1612       11410                 114     6
1613       11411                 370     5
1614       11441                1119     6
1615       11442                 690     5
1616       11446                 207     1
1617       11449                1015     2
1618       11470                1030     5
1619       11471                 842     8
1620       11471                 735     9
1621       11479                 780     8
1622       11482                 927     8
1623       11510                1165     6
1624       11511                 810     5
1625       11523                 199     5
1626       11531                 351     1
1627       11553                 431     7
1628       11591                1079     4
1629       11593                 664     9
1630       11598                 370     2
1631       11604                 453     7
1632       11611                  18     5
1633       11621                 917     6
1634       11641                 699     4
1635       11646                 581     4
1636       11650                 204     5
1637       11663                 689     4
1638       11669                 302     2
1639       11669                 204     4
1640       11671                1163     5
1641       11676                 943     7
1642       11679                1097     2
1643       11685                 191     6
1644       11700                 162     1
1645       11704                 630     4
1646       11707                  85     3
1647       11710                1012     7
1648       11713                  92     1
1649       11722                  86     1
1650       11725                 575     6
1651       11742                 771     5
1652       11742                 815     6
1653       11749                1050     2
1654       11781                1173     9
1655       11783                1135     5
1656       11799                 726     8
1657       11803                 845     9
1658       11836                   2     9
1659       11840                 945     8
1660       11850                 709     2
1661       11853                 950     1
1662       11856                 920     6
1663       11856                 781     9
1664       11858                1125     7
1665       11879                 102     4
1666       11890                 872     4
1667       11891                  96     1
1668       11894                 772     7
1669       11899                 739     6
1670       11901                 175     9
1671       11908                 340     7
1672       11917                1095     7
1673       11920                 163     7
1674       11948                 854     1
1675       11968                 587     2
1676       11972                 569     2
1677       11974                 847     3
1678       11999                 835     2
1679       12015                 317     9
1680       12022                 586     5
1681       12026                 653     3
1682       12040                 489     4
1683       12046                1041     6
1684       12046                 577     3
1685       12066                1019     6
1686       12070                 651     2
1687       12072                  14     1
1688       12075                 739     4
1689       12081                 903     1
1690       12090                 682     3
1691       12092                1097     2
1692       12098                 344     7
1693       12101                 435     1
1694       12120                1101     6
1695       12123                1060     4
1696       12128                 428     7
1697       12131                1184     4
1698       12131                1058     4
1699       12133                 900     8
1700       12150                 791     1
1701       12165                 654     8
1702       12170                 923     2
1703       12171                 978     8
1704       12178                 293     7
1705       12179                 695     5
1706       12180                 282     7
1707       12186                1112     6
1708       12193                1162     5
1709       12196                1151     4
1710       12204                 897     6
1711       12211                 906     7
1712       12212                 570     5
1713       12218                 203     2
1714       12225                 359     6
1715       12226                 272     7
1716       12226                 365     8
1717       12260                 700     4
1718       12282                 345     7
1719       12282                 971     5
1720       12293                 149     4
1721       12296                1126     7
1722       12296                 897     9
1723       12305                 427     7
1724       12315                1188     6
1725       12324                 651     5
1726       12350                 835     9
1727       12358                 623     5
1728       12359                 413     8
1729       12363                 872     3
1730       12364                 479     3
1731       12364                  19     5
1732       12371                 212     5
1733       12373                1144     7
1734       12374                 497     5
1735       12377                 861     2
1736       12397                 947     1
1737       12398                 290     4
1738       12403                 904     6
1739       12404                 359     7
1740       12412                 514     3
1741       12414                  51     3
1742       12419                1116     7
1743       12419                 598     6
1744       12428                 689     3
1745       12429                 381     3
1746       12432                 449     9
1747       12437                 620     8
1748       12440                 420     4
1749       12444                 193     6
1750       12449                 569     6
1751       12454                 147     5
1752       12457                 691     1
1753       12467                 688     7
1754       12478                1050     5
1755       12482                 165     7
1756       12484                  29     6
1757       12491                1171     4
1758       12507                 472     2
1759       12510                 629     3
1760       12515                 765     3
1761       12526                1124     8
1762       12537                1122     5
1763       12541                 100     5
1764       12543                 208     1
1765       12549                 111     8
1766       12554                  62     7
1767       12554                 340     9
1768       12560                 142     1
1769       12564                 214     8
1770       12566                1125     8
1771       12567                 737     5
1772       12568                1033     3
1773       12572                 687     7
1774       12572                 214     5
1775       12575                1016     5
1776       12579                1015     7
1777       12594                1155     8
1778       12595                1039     9
1779       12601                  47     4
1780       12602                 356     9
1781       12606                1049     8
1782       12609                 537     4
1783       12609                 164     3
1784       12611                1079     2
1785       12614                 208     9
1786       12639                 440     2
1787       12641                 421     5
1788       12650                1127     8
1789       12651                 596     6
1790       12654                 564     9
1791       12655                 841     6
1792       12662                 822     4
1793       12673                 161     6
1794       12677                 548     3
1795       12680                 136     6
1796       12681                 886     4
1797       12701                 990     5
1798       12717                1161     3
1799       12723                 400     4
1800       12724                 432     3
1801       12733                 934     5
1802       12737                 716     4
1803       12746                1138     9
1804       12760                 441     2
1805       12761                 635     6
1806       12761                 756     5
1807       12769                  16     9
1808       12780                 119     2
1809       12784                 329     9
1810       12793                 329     9
1811       12806                 716     4
1812       12813                1124     8
1813       12834                 312     2
1814       12836                 102     8
1815       12841                 137     1
1816       12848                1182     3
1817       12860                 473     3
1818       12866                1157     6
1819       12868                 224     4
1820       12868                 686     9
1821       12870                 724     4
1822       12888                 461     8
1823       12895                 963     8
1824       12900                 437     5
1825       12904                 436     3
1826       12919                 991     6
1827       12922                 151     1
1828       12925                 766     4
1829       12934                 473     7
1830       12943                 294     1
1831       12949                 807     5
1832       12952                 391     5
1833       12962                 534     8
1834       12963                 362     6
1835       12966                 523     2
1836       12986                 919     2
1837       12995                 851     6
1838       12996                  31     6
1839       13001                 901     5
1840       13003                1160     5
1841       13004                 329     2
1842       13005                 210     6
1843       13007                 568     8
1844       13031                 732     4
1845       13034                  80     9
1846       13035                 774     3
1847       13039                 939     5
1848       13047                1117     5
1849       13066                1092     7
1850       13072                 775     6
1851       13082                 790     4
1852       13094                 299     5
1853       13096                1032     1
1854       13100                  93     2
1855       13101                 370     8
1856       13104                1022     4
1857       13117                 997     8
1858       13140                  46     8
1859       13147                 690     4
1860       13150                 200     4
1861       13152                 209     5
1862       13152                 402     2
1863       13153                  17     6
1864       13154                 436     4
1865       13180                 542     4
1866       13181                 328     3
1867       13181                  22     8
1868       13190                 986     8
1869       13195                 289     9
1870       13206                 237     8
1871       13212                 200     4
1872       13217                1030     4
1873       13219                 929     4
1874       13220                 155     7
1875       13220                 309     5
1876       13233                  18     4
1877       13245                 471     2
1878       13246                 858     9
1879       13247                 169     2
1880       13249                 143     6
1881       13250                 115     7
1882       13255                1083     3
1883       13265                 829     9
1884       13281                 652     5
1885       13283                 962     8
1886       13308                  16     8
1887       13319                 133     7
1888       13324                 344     6
1889       13331                1102     3
1890       13333                 812     1
1891       13351                 486     8
1892       13374                 448     2
1893       13377                  22     4
1894       13387                 147     3
1895       13393                  58     6
1896       13395                 796     4
1897       13400                 892     7
1898       13408                1161     4
1899       13408                 178     4
1900       13419                 477     4
1901       13434                 562     5
1902       13438                 911     1
1903       13439                 279     4
1904       13442                1110     6
1905       13447                 736     8
1906       13459                  10     6
1907       13469                 581     7
1908       13472                 739     2
1909       13474                 347     2
1910       13475                1126     4
1911       13485                 631     7
1912       13489                1122     7
1913       13494                 614     7
1914       13497                 364     3
1915       13501                 410     7
1916       13503                1085     1
1917       13507                 385     3
1918       13514                 328     3
1919       13520                 956     9
1920       13523                 160     6
1921       13527                1016     2
1922       13544                 121     9
1923       13546                  29     8
1924       13554                  47     7
1925       13566                 319     4
1926       13567                  65     1
1927       13571                 181     6
1928       13583                  68     1
1929       13588                 627     9
1930       13593                 235     3
1931       13593                 872     7
1932       13594                1068     6
1933       13594                 384     1
1934       13598                 485     2
1935       13605                 558     6
1936       13612                 610     3
1937       13637                1046     2
1938       13639                   5     2
1939       13640                 647     7
1940       13645                1147     9
1941       13652                1064     1
1942       13671                 197     5
1943       13673                 732     1
1944       13675                 405     9
1945       13681                  21     9
1946       13682                1085     1
1947       13683                 878     4
1948       13686                  62     9
1949       13701                 978     9
1950       13702                 336     6
1951       13703                 638     6
1952       13703                 227     3
1953       13711                 708     9
1954       13718                1013     3
1955       13733                 306     2
1956       13733                 919     2
1957       13733                 127     4
1958       13744                  29     7
1959       13748                 710     5
1960       13757                1121     7
1961       13758                1002     7
1962       13765                 656     6
1963       13765                1007     5
1964       13773                 781     9
1965       13775                 364     8
1966       13789                 417     6
1967       13795                 453     9
1968       13797                 822     1
1969       13798                 589     1
1970       13804                 860     4
1971       13807                 994     3
1972       13812                 357     6
1973       13813                 111     7
1974       13814                 866     1
1975       13815                 375     8
1976       13849                 498     6
1977       13849                 322     4
1978       13850                 835     7
1979       13851                1038     1
1980       13870                  49     2
1981       13872                 165     6
1982       13892                 667     5
1983       13895                 621     2
1984       13897                 715     6
1985       13901                 885     7
1986       13908                1115     9
1987       13913                 610     8
1988       13919                  60     7
1989       13932                 774     7
1990       13933                 154     4
1991       13936                 543     9
1992       13947                 321     1
1993       13952                 586     4
1994       13968                 486     8
1995       13974                  48     4
1996       13996                 129     4
1997       13999                  62     3
1998       14013                1143     3
1999       14019                 656     5
2000       14019                 710     8
2001       14019                 487     5
2002       14029                 522     9
2003       14033                 709     2
2004       14045                 355     1
2005       14051                 604     8
2006       14055                 294     9
2007       14061                 105     6
2008       14071                 586     8
2009       14073                 498     8
2010       14078                 902     5
2011       14092                 633     1
2012       14096                 753     4
2013       14105                 321     7
2014       14111                 436     3
2015       14114                1128     6
2016       14129                 537     7
2017       14142                 672     1
2018       14149                 316     7
2019       14154                 482     8
2020       14155                 191     7
2021       14156                 991     9
2022       14156                 344     9
2023       14157                 623     7
2024       14161                 739     9
2025       14163                 860     4
2026       14165                 667     6
2027       14177                 827     3
2028       14186                 494     8
2029       14191                 934     1
2030       14193                 450     3
2031       14207                 417     4
2032       14208                 898     3
2033       14208                1139     1
2034       14212                 500     9
2035       14227                 557     1
2036       14229                 946     5
2037       14230                 149     7
2038       14232                1189     5
2039       14241                 315     9
2040       14245                 276     7
2041       14253                 970     4
2042       14255                 332     7
2043       14269                 924     3
2044       14277                 650     4
2045       14281                 994     2
2046       14282                  41     4
2047       14293                1012     8
2048       14301                 828     5
2049       14303                 103     9
2050       14313                 377     9
2051       14322                 971     1
2052       14335                 386     3
2053       14350                 131     3
2054       14354                 997     8
2055       14358                 497     7
2056       14372                 752     4
2057       14373                1193     9
2058       14374                 701     4
2059       14375                 475     7
2060       14375                 438     7
2061       14377                 801     6
2062       14389                1083     2
2063       14395                 146     9
2064       14398                 472     9
2065       14403                 822     1
2066       14414                1064     4
2067       14425                 417     9
2068       14429                 328     5
2069       14430                 508     2
2070       14432                 420     8
2071       14434                 563     2
2072       14441                1052     7
2073       14443                 459     1
2074       14451                 567     7
2075       14452                1046     7
2076       14455                 500     3
2077       14473                 602     8
2078       14477                 956     5
2079       14480                1105     5
2080       14519                 794     6
2081       14532                 554     8
2082       14534                 157     8
2083       14534                1070     1
2084       14536                 167     9
2085       14548                 340     4
2086       14554                 948     6
2087       14565                 607     6
2088       14565                 589     2
2089       14578                 316     7
2090       14617                 610     9
2091       14619                 735     7
2092       14628                 273     1
2093       14629                1053     2
2094       14630                 431     9
2095       14631                1143     2
2096       14636                 825     9
2097       14646                 623     8
2098       14650                 159     8
2099       14664                 110     3
2100       14670                 570     8
2101       14675                 270     3
2102       14676                 361     1
2103       14684                 848     6
2104       14686                1003     2
2105       14694                 423     9
2106       14694                 754     9
2107       14697                 261     3
2108       14697                 279     4
2109       14698                 154     3
2110       14705                 491     5
2111       14705                 518     2
2112       14705                 385     6
2113       14712                  47     8
2114       14721                 131     6
2115       14722                 340     5
2116       14724                 564     2
2117       14727                 459     9
2118       14745                1154     2
2119       14745                 952     4
2120       14746                 451     4
2121       14760                 308     2
2122       14763                 529     2
2123       14773                 158     4
2124       14781                 989     5
2125       14783                 720     3
2126       14792                 836     7
2127       14794                 121     7
2128       14795                1136     9
2129       14797                1028     6
2130       14823                  74     9
2131       14848                 651     4
2132       14859                 553     3
2133       14860                 819     2
2134       14878                 602     4
2135       14878                 899     4
2136       14878                1160     3
2137       14905                 618     6
2138       14914                1008     1
2139       14921                 961     9
2140       14923                 536     3
2141       14946                 980     6
2142       14947                 991     7
2143       14947                1012     9
2144       14949                 567     1
2145       14964                 745     6
2146       14980                 860     6
2147       14981                 312     7
2148       14989                 561     6
2149       14991                1147     5
2150       14991                 573     8
2151       15036                 426     9
2152       15037                 953     2
2153       15039                 957     1
2154       15060                 495     6
2155       15061                 859     6
2156       15071                 184     2
2157       15072                 809     2
2158       15083                 173     7
2159       15088                 403     9
2160       15091                 950     9
2161       15117                 188     2
2162       15122                 109     5
2163       15146                 303     2
2164       15147                1021     3
2165       15157                 219     3
2166       15161                 879     5
2167       15166                 905     2
2168       15179                 326     6
2169       15181                 770     3
2170       15181                 424     4
2171       15181                  79     4
2172       15196                 883     3
2173       15196                 508     1
2174       15212                  36     5
2175       15223                 790     7
2176       15243                 487     7
2177       15261                 449     8
2178       15268                 197     3
2179       15294                  53     7
2180       15305                 243     3
2181       15307                 558     7
2182       15307                 265     1
2183       15307                 747     7
2184       15308                 108     1
2185       15310                 546     2
2186       15323                 591     8
2187       15332                  21     5
2188       15335                1087     3
2189       15343                 322     7
2190       15346                 663     7
2191       15350                 570     2
2192       15356                 205     3
2193       15363                 401     9
2194       15365                 878     3
2195       15374                 543     2
2196       15378                 298     6
2197       15378                  50     1
2198       15399                 392     9
2199       15400                 632     9
2200       15405                 562     4
2201       15405                  25     6
2202       15406                 514     6
2203       15408                 212     8
2204       15421                 260     6
2205       15421                 478     2
2206       15424                 521     7
2207       15429                 269     5
2208       15431                 900     9
2209       15443                 126     8
2210       15447                 729     1
2211       15454                 515     4
2212       15456                 905     6
2213       15463                1010     5
2214       15464                 370     2
2215       15468                 657     1
2216       15472                 708     8
2217       15475                 864     9
2218       15477                 738     2
2219       15483                 232     8
2220       15486                 308     9
2221       15493                 831     5
2222       15499                1188     7
2223       15503                 669     4
2224       15503                 444     2
2225       15506                  77     7
2226       15509                 577     7
2227       15512                 681     7
2228       15524                 857     8
2229       15532                 658     1
2230       15548                 688     9
2231       15553                 137     4
2232       15556                1126     2
2233       15560                 397     7
2234       15572                 382     9
2235       15576                 869     7
2236       15584                 476     8
2237       15584                 339     6
2238       15608                 849     2
2239       15613                1012     4
2240       15623                1129     3
2241       15623                 503     9
2242       15624                 833     1
2243       15634                1174     8
2244       15641                 677     1
2245       15642                 801     2
2246       15652                 311     1
2247       15660                 391     7
2248       15667                 930     1
2249       15673                 329     9
2250       15681                1107     4
2251       15688                 347     4
2252       15691                1028     7
2253       15694                 810     1
2254       15697                 417     5
2255       15703                 142     8
2256       15706                 527     2
2257       15715                 879     6
2258       15723                  79     9
2259       15744                 647     6
2260       15750                1134     4
2261       15751                 984     3
2262       15751                1164     6
2263       15760                 209     8
2264       15761                 654     9
2265       15765                1191     5
2266       15795                 421     1
2267       15798                 764     8
2268       15801                  49     4
2269       15810                 389     8
2270       15817                 585     1
2271       15823                 158     4
2272       15830                 648     6
2273       15845                 220     2
2274       15847                 870     4
2275       15849                 160     2
2276       15849                1106     9
2277       15861                 962     9
2278       15865                 323     9
2279       15868                1000     6
2280       15869                 171     9
2281       15875                 300     2
2282       15876                 496     8
2283       15884                 200     9
2284       15901                 293     1
2285       15905                1184     9
2286       15913                 468     4
2287       15925                 160     5
2288       15947                 728     1
2289       15953                 230     8
2290       15961                 222     1
2291       15962                 185     5
2292       15966                 362     3
2293       15976                 283     7
2294       16011                 674     9
2295       16013                 887     8
2296       16013                 399     4
2297       16019                 888     5
2298       16025                1097     8
2299       16041                 250     1
2300       16046                 608     8
2301       16048                1149     2
2302       16062                 761     4
2303       16070                 461     1
2304       16072                  17     2
2305       16109                 756     1
2306       16109                 250     6
2307       16112                 274     8
2308       16118                 890     8
2309       16121                 517     6
2310       16125                 276     4
2311       16147                 198     9
2312       16148                 285     9
2313       16148                 527     1
2314       16156                 620     1
2315       16160                  64     3
2316       16164                 973     8
2317       16198                 412     1
2318       16199                   5     9
2319       16207                 376     5
2320       16219                1014     5
2321       16219                  52     1
2322       16226                  32     5
2323       16228                 771     1
2324       16243                 332     9
2325       16248                1001     2
2326       16250                 547     8
2327       16254                 575     6
2328       16258                  89     4
2329       16261                 975     6
2330       16265                  13     2
2331       16276                1132     5
2332       16277                 646     7
2333       16278                 139     1
2334       16280                 984     5
2335       16289                 878     6
2336       16290                1048     9
2337       16296                1136     5
2338       16297                 918     2
2339       16300                1123     6
2340       16304                 162     3
2341       16306                 779     1
2342       16319                1062     9
2343       16328                 259     8
2344       16338                1072     4
2345       16341                 702     3
2346       16352                 628     7
2347       16370                  85     1
2348       16370                  72     7
2349       16374                 556     5
2350       16378                 878     2
2351       16381                1053     4
2352       16385                 584     8
2353       16393                  92     7
2354       16393                1022     7
2355       16394                 502     9
2356       16414                 671     5
2357       16414                 787     1
2358       16418                 877     9
2359       16427                 546     5
2360       16430                 365     4
2361       16445                 663     3
2362       16447                 261     3
2363       16459                1040     5
2364       16459                 720     7
2365       16460                 624     4
2366       16473                 546     3
2367       16477                 412     8
2368       16488                 835     8
2369       16515                 889     9
2370       16520                1098     5
2371       16522                 193     4
2372       16543                 148     8
2373       16545                  61     9
2374       16548                1046     2
2375       16549                 772     8
2376       16560                 630     1
2377       16595                 122     4
2378       16599                 191     3
2379       16608                  41     3
2380       16608                 325     3
2381       16612                1147     1
2382       16617                  98     1
2383       16627                  67     8
2384       16632                 113     5
2385       16637                 178     5
2386       16638                 561     6
2387       16651                 710     2
2388       16656                 429     9
2389       16674                 238     4
2390       16688                 688     8
2391       16692                  83     2
2392       16696                 634     9
2393       16701                 148     8
2394       16701                 976     9
2395       16701                 433     3
2396       16704                 494     4
2397       16704                 754     9
2398       16706                 187     1
2399       16709                 723     9
2400       16717                 747     3
2401       16722                 660     1
2402       16732                1104     4
2403       16742                 940     4
2404       16747                 283     6
2405       16752                 671     2
2406       16752                 127     6
2407       16761                1095     2
2408       16764                1097     2
2409       16768                 691     9
2410       16771                 528     8
2411       16800                 297     9
2412       16822                 979     5
2413       16845                1110     1
2414       16856                1149     5
2415       16864                 381     6
2416       16866                 767     4
2417       16883                 487     1
2418       16890                 164     1
2419       16893                 726     7
2420       16898                  48     3
2421       16899                1121     8
2422       16907                 600     9
2423       16908                 209     4
2424       16926                 139     1
2425       16928                 445     7
2426       16930                 185     3
2427       16936                 319     1
2428       16940                 713     3
2429       16954                  36     6
2430       16964                 430     7
2431       16967                  62     8
2432       16972                 622     3
2433       16975                 748     4
2434       16976                 118     9
2435       16986                 622     8
2436       16993                 746     8
2437       16995                 504     6
2438       17003                  42     9
2439       17009                 738     4
2440       17013                 607     6
2441       17018                 971     5
2442       17019                 782     8
2443       17020                 813     6
2444       17024                  18     7
2445       17026                 463     2
2446       17028                1093     7
2447       17045                 995     1
2448       17069                1032     8
2449       17081                 317     5
2450       17088                  70     9
2451       17096                1097     1
2452       17131                1076     5
2453       17137                 217     7
2454       17166                 117     2
2455       17166                 668     4
2456       17176                 555     1
2457       17177                 778     2
2458       17186                 261     4
2459       17188                1030     4
2460       17196                 970     5
2461       17206                 692     2
2462       17212                1101     1
2463       17217                 617     6
2464       17222                  53     4
2465       17222                 321     8
2466       17224                 824     6
2467       17246                 702     3
2468       17262                 904     7
2469       17297                 251     6
2470       17301                 974     3
2471       17302                 824     6
2472       17303                 204     2
2473       17307                 713     6
2474       17322                 918     9
2475       17340                  77     6
2476       17342                 753     7
2477       17346                 486     8
2478       17353                 255     4
2479       17355                1193     3
2480       17359                 850     1
2481       17368                 305     8
2482       17373                1091     3
2483       17379                 173     7
2484       17408                 229     4
2485       17415                1175     5
2486       17423                 232     1
2487       17431                 785     6
2488       17436                 152     3
2489       17439                 965     9
2490       17447                 578     8
2491       17447                 758     2
2492       17454                  29     3
2493       17460                 340     9
2494       17462                 792     6
2495       17463                 321     8
2496       17472                 159     2
2497       17485                 866     7
2498       17487                 705     2
2499       17491                 392     1
2500       17493                   6     4
2501       17506                 570     9
2502       17508                 644     3
2503       17534                 121     8
2504       17539                 968     4
2505       17540                 408     1
2506       17542                   7     4
2507       17548                 541     1
2508       17549                 722     6
2509       17556                 320     5
2510       17564                 855     7
2511       17570                 350     5
2512       17573                1054     9
2513       17574                 867     8
2514       17578                1059     5
2515       17579                 638     3
2516       17580                 220     9
2517       17584                 362     5
2518       17604                 614     8
2519       17604                1078     1
2520       17606                 609     1
2521       17609                1181     1
2522       17625                 231     5
2523       17630                 473     9
2524       17647                 425     3
2525       17676                 183     4
2526       17684                 684     3
2527       17688                 106     2
2528       17689                1134     5
2529       17693                 901     6
2530       17698                 280     9
2531       17724                 540     3
2532       17740                 552     3
2533       17743                 351     9
2534       17745                 963     7
2535       17774                 869     7
2536       17781                 638     7
2537       17796                1154     3
2538       17800                  52     5
2539       17828                 220     2
2540       17829                   7     1
2541       17840                  28     1
2542       17842                 228     7
2543       17864                 205     2
2544       17869                1074     2
2545       17873                 115     2
2546       17874                 306     5
2547       17876                 725     6
2548       17889                1148     3
2549       17895                1026     6
2550       17902                 670     9
2551       17904                 572     7
2552       17914                 234     7
2553       17925                 605     5
2554       17928                 835     3
2555       17948                 482     1
2556       17950                1152     8
2557       17952                 555     8
2558       17954                 369     3
2559       17964                1124     8
2560       17970                1033     7
2561       17981                 465     5
2562       17986                 567     9
2563       17995                 276     1
2564       18009                 536     1
2565       18012                 126     1
2566       18019                 777     3
2567       18032                  17     4
2568       18035                  98     7
2569       18041                 735     3
2570       18041                1016     6
2571       18054                 977     8
2572       18056                  92     3
2573       18061                1024     8
2574       18067                 375     7
2575       18086                 705     4
2576       18091                 103     4
2577       18096                 263     7
2578       18098                 354     7
2579       18104                 285     5
2580       18121                 167     1
2581       18124                 293     8
2582       18139                  21     2
2583       18155                1059     3
2584       18161                1092     2
2585       18167                1021     3
2586       18174                  49     5
2587       18180                 785     1
2588       18181                1102     8
2589       18183                1023     3
2590       18199                 547     9
2591       18212                 274     1
2592       18215                1138     4
2593       18217                 397     3
2594       18219                 997     8
2595       18228                 424     1
2596       18231                 148     5
2597       18231                 171     2
2598       18231                1079     2
2599       18235                 767     1
2600       18261                 955     4
2601       18268                 354     3
2602       18277                1184     9
2603       18278                  12     5
2604       18280                 626     8
2605       18288                 639     3
2606       18292                 681     2
2607       18293                  93     1
2608       18294                 571     7
2609       18308                 814     6
2610       18317                1158     8
2611       18324                 753     3
